Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P600', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P600_D800/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P600_200/', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P600', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [70/251] time: 36714, loss_rand: 0.93306, loss_itent:  0.02900
Epoch: [71/251] time: 37234, loss_rand: 0.68157, loss_itent:  0.01640
Epoch: [72/251] time: 37751, loss_rand: 0.73407, loss_itent:  0.03131
Epoch: [73/251] time: 38264, loss_rand: 0.95406, loss_itent:  0.05587
Epoch: [74/251] time: 38781, loss_rand: 0.97351, loss_itent:  0.03287
Epoch: [75/251] time: 39292, loss_rand: 1.08616, loss_itent:  0.02851
Epoch: [76/251] time: 39815, loss_rand: 1.01094, loss_itent:  0.01772
Epoch: [77/251] time: 40326, loss_rand: 1.15231, loss_itent:  0.03479
Epoch: [78/251] time: 40832, loss_rand: 0.84749, loss_itent:  0.02397
Epoch: [79/251] time: 41342, loss_rand: 1.18472, loss_itent:  0.05490
Epoch: [80/251] time: 41857, loss_rand: 0.82256, loss_itent:  0.01897
Epoch: [81/251] time: 42378, loss_rand: 1.02192, loss_itent:  0.02339
Epoch: [82/251] time: 42895, loss_rand: 0.66100, loss_itent:  0.01921
Epoch: [83/251] time: 43412, loss_rand: 0.48602, loss_itent:  0.01111
Epoch: [84/251] time: 43926, loss_rand: 0.96592, loss_itent:  0.02745
Epoch: [85/251] time: 44432, loss_rand: 1.79479, loss_itent:  0.01943
Epoch: [86/251] time: 44956, loss_rand: 0.97954, loss_itent:  0.02395
Epoch: [87/251] time: 45470, loss_rand: 0.77872, loss_itent:  0.05704
Epoch: [88/251] time: 45984, loss_rand: 1.54143, loss_itent:  0.03133
Epoch: [89/251] time: 46501, loss_rand: 0.92138, loss_itent:  0.02824
Epoch: [90/251] time: 47015, loss_rand: 1.09196, loss_itent:  0.02087
Epoch: [91/251] time: 47536, loss_rand: 0.92233, loss_itent:  0.01633
Epoch: [92/251] time: 48052, loss_rand: 0.75469, loss_itent:  0.01767
Epoch: [93/251] time: 48564, loss_rand: 0.79473, loss_itent:  0.04719
Epoch: [94/251] time: 49084, loss_rand: 0.52601, loss_itent:  0.01952
Epoch: [95/251] time: 49607, loss_rand: 0.57834, loss_itent:  0.01829
Epoch: [96/251] time: 50130, loss_rand: 0.57996, loss_itent:  0.01068
Epoch: [97/251] time: 50641, loss_rand: 0.75752, loss_itent:  0.01886
Epoch: [98/251] time: 51149, loss_rand: 0.58100, loss_itent:  0.01906
Epoch: [99/251] time: 51664, loss_rand: 0.61291, loss_itent:  0.01535
Epoch: [100/251] time: 52182, loss_rand: 1.10413, loss_itent:  0.02840
Epoch: [101/251] time: 52697, loss_rand: 0.53863, loss_itent:  0.01717
Epoch: [102/251] time: 53209, loss_rand: 0.95633, loss_itent:  0.03877
Epoch: [103/251] time: 53715, loss_rand: 1.55005, loss_itent:  0.03875
Epoch: [104/251] time: 54230, loss_rand: 1.59184, loss_itent:  0.03866
Epoch: [105/251] time: 54742, loss_rand: 0.72883, loss_itent:  0.02424
Epoch: [106/251] time: 55262, loss_rand: 0.67020, loss_itent:  0.01556
Epoch: [107/251] time: 55770, loss_rand: 0.57062, loss_itent:  0.03391
Epoch: [108/251] time: 56285, loss_rand: 1.38715, loss_itent:  0.02014
Epoch: [109/251] time: 56795, loss_rand: 1.20131, loss_itent:  0.02957
Epoch: [110/251] time: 57311, loss_rand: 0.96668, loss_itent:  0.01619
Epoch: [111/251] time: 57838, loss_rand: 0.86470, loss_itent:  0.01178
Epoch: [112/251] time: 58350, loss_rand: 0.64206, loss_itent:  0.02835
Epoch: [113/251] time: 58856, loss_rand: 1.00748, loss_itent:  0.01231
Epoch: [114/251] time: 59371, loss_rand: 0.82959, loss_itent:  0.01003
Epoch: [115/251] time: 59880, loss_rand: 0.81188, loss_itent:  0.01504
Epoch: [116/251] time: 60404, loss_rand: 1.29797, loss_itent:  0.02503
Epoch: [117/251] time: 60922, loss_rand: 1.22655, loss_itent:  0.03283
Epoch: [118/251] time: 61439, loss_rand: 0.91621, loss_itent:  0.01171
Epoch: [119/251] time: 61952, loss_rand: 0.70326, loss_itent:  0.01190
Epoch: [120/251] time: 62461, loss_rand: 0.99870, loss_itent:  0.05451
Epoch: [121/251] time: 62980, loss_rand: 0.91710, loss_itent:  0.02485
Epoch: [122/251] time: 63491, loss_rand: 0.86411, loss_itent:  0.00491
Epoch: [123/251] time: 64006, loss_rand: 1.29290, loss_itent:  0.01773
Epoch: [124/251] time: 64519, loss_rand: 0.81312, loss_itent:  0.01168
Epoch: [125/251] time: 65038, loss_rand: 1.64280, loss_itent:  0.14674
Epoch: [126/251] time: 65557, loss_rand: 0.64772, loss_itent:  0.01321
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P600', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P600_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P600_200/', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='test', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P600', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P600', compute_cd=False, continue_train=True, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P600_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P600_200/', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P600', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [126/251] time: 863, loss_rand: 0.98128, loss_itent:  0.03033
Epoch: [127/251] time: 1620, loss_rand: 0.58453, loss_itent:  0.03825
Epoch: [128/251] time: 2390, loss_rand: 1.55476, loss_itent:  0.02423
Epoch: [129/251] time: 3160, loss_rand: 0.69087, loss_itent:  0.01741
Epoch: [130/251] time: 3923, loss_rand: 1.00361, loss_itent:  0.01532
Epoch: [131/251] time: 4691, loss_rand: 0.86382, loss_itent:  0.01416
Epoch: [132/251] time: 5444, loss_rand: 1.27244, loss_itent:  0.01176
Epoch: [133/251] time: 6213, loss_rand: 0.86363, loss_itent:  0.02866
Epoch: [134/251] time: 6978, loss_rand: 0.79799, loss_itent:  0.03631
Epoch: [135/251] time: 7732, loss_rand: 1.09162, loss_itent:  0.01998
