Epoch: [39/101] time: 9581, loss_recons: 0.33531, loss_dis: 0.0691, iou:  0.21079,
Epoch: [40/101] time: 9819, loss_recons: 0.32605, loss_dis: 0.2780, iou:  0.23563,
Epoch: [41/101] time: 10064, loss_recons: 0.33423, loss_dis: 0.1084, iou:  0.21107,
Epoch: [42/101] time: 10302, loss_recons: 0.29635, loss_dis: 0.0210, iou:  0.22439,
Epoch: [43/101] time: 10541, loss_recons: 0.31807, loss_dis: 0.0597, iou:  0.23271,
Epoch: [44/101] time: 10780, loss_recons: 0.35514, loss_dis: 0.0820, iou:  0.20064,
Epoch: [45/101] time: 11019, loss_recons: 0.32926, loss_dis: 0.0226, iou:  0.21895,
Epoch: [46/101] time: 11258, loss_recons: 0.24991, loss_dis: 0.0126, iou:  0.19524,
Epoch: [47/101] time: 11498, loss_recons: 0.36195, loss_dis: 0.0355, iou:  0.20740,
Epoch: [48/101] time: 11736, loss_recons: 0.27689, loss_dis: 0.0759, iou:  0.27006,
Epoch: [49/101] time: 11976, loss_recons: 0.32884, loss_dis: 0.0570, iou:  0.21257,
Epoch: [50/101] time: 12215, loss_recons: 0.33549, loss_dis: 1.8137, iou:  0.19590,
Epoch: [51/101] time: 12461, loss_recons: 0.28709, loss_dis: 0.0558, iou:  0.19407,
Epoch: [52/101] time: 12700, loss_recons: 0.31885, loss_dis: 0.0161, iou:  0.22687,
Epoch: [53/101] time: 12939, loss_recons: 0.35923, loss_dis: 0.1064, iou:  0.22803,
Epoch: [54/101] time: 13178, loss_recons: 0.35834, loss_dis: 0.0763, iou:  0.19901,
Epoch: [55/101] time: 13417, loss_recons: 0.30321, loss_dis: 0.1064, iou:  0.21940,
Epoch: [56/101] time: 13657, loss_recons: 0.33943, loss_dis: 0.0408, iou:  0.20640,
Epoch: [57/101] time: 13896, loss_recons: 0.37743, loss_dis: 0.1211, iou:  0.18333,
Epoch: [58/101] time: 14135, loss_recons: 0.25705, loss_dis: 0.0151, iou:  0.28725,
Epoch: [59/101] time: 14374, loss_recons: 0.28769, loss_dis: 0.0293, iou:  0.24112,
Epoch: [60/101] time: 14613, loss_recons: 0.35768, loss_dis: 0.0334, iou:  0.23240,
Epoch: [61/101] time: 14860, loss_recons: 0.29506, loss_dis: 0.0575, iou:  0.25509,
Epoch: [62/101] time: 15100, loss_recons: 0.33971, loss_dis: 0.0594, iou:  0.19250,
Epoch: [63/101] time: 15341, loss_recons: 0.32056, loss_dis: 0.0222, iou:  0.23633,
Epoch: [64/101] time: 15580, loss_recons: 0.34162, loss_dis: 0.0390, iou:  0.19693,
Epoch: [65/101] time: 15819, loss_recons: 0.31313, loss_dis: 0.0124, iou:  0.19660,
Epoch: [66/101] time: 16059, loss_recons: 0.32922, loss_dis: 0.0288, iou:  0.22549,
Epoch: [67/101] time: 16299, loss_recons: 0.32580, loss_dis: 0.0268, iou:  0.20647,
Epoch: [68/101] time: 16539, loss_recons: 0.28909, loss_dis: 0.0345, iou:  0.22408,
Epoch: [69/101] time: 16778, loss_recons: 0.32257, loss_dis: 0.0697, iou:  0.19829,
Epoch: [70/101] time: 17016, loss_recons: 0.32954, loss_dis: 0.0730, iou:  0.21400,
Epoch: [71/101] time: 17264, loss_recons: 0.32716, loss_dis: 0.0592, iou:  0.22932,
Epoch: [72/101] time: 17503, loss_recons: 0.32008, loss_dis: 0.0116, iou:  0.22776,
Epoch: [73/101] time: 17742, loss_recons: 0.31796, loss_dis: 0.0106, iou:  0.20938,
Epoch: [74/101] time: 17981, loss_recons: 0.26961, loss_dis: 0.0309, iou:  0.20417,
Epoch: [75/101] time: 18220, loss_recons: 0.32420, loss_dis: 0.0158, iou:  0.19942,
